变化服务个数,实际需要更新的ws的个数,实际删除的个数,实际新增的个数,实际qos变化的个数,PQ队列的最大长度,策略1(11),策略2(700),重查,连续查询,结果
968,17,2,2,13,74,1.1746283624999996,1.1746283624999996,1.1746283624999996,1.8116812374999998,平
857,16,1,1,14,76,1.1199154874999993,1.1199154874999993,1.1199154874999993,1.9307984625000003,平
172,3,0,0,3,3,0.1422853875,0.1422853875,0.9032719874999995,0.1422853875,平
12,1,0,0,1,8,0.10327811249999999,0.10327811249999999,0.8193932625,0.10327811249999999,平
691,8,2,1,5,19,0.8992574875000002,0.8992574875000002,0.9602406999999996,0.8992574875000002,平
121,0,0,0,0,0,0.0652009875,0.0652009875,0.8572673124999994,0.0652009875,平
702,14,1,3,10,68,1.1252879624999998,1.1252879624999998,1.1252879624999998,1.7485062250000003,平
329,6,2,0,4,4,0.25613726249999996,0.25613726249999996,0.9366022499999997,0.25613726249999996,平
71,1,0,1,0,1,0.07298427499999999,0.07298427499999999,0.8579783125,0.07298427499999999,平
49,0,0,0,0,0,0.0264235375,0.0264235375,0.8516008750000001,0.0264235375,平
重查平均时间,连续查询平均时间,策略1平均时间,策略2平均时间,最佳策略平均时间
0.9606186512499999,0.7056552975000001,0.49853988624999984,0.49853988624999984,0.49853988624999984
策略1胜于策略2:0
策略1平于策略2:10
策略1负于策略2:0
