变化服务个数,实际需要更新的ws的个数,实际删除的个数,实际新增的个数,实际qos变化的个数,PQ队列的最大长度,策略1(11),策略2(700),重查,连续查询,结果
361,7,1,3,3,51,0.8824720374999998,0.8824720374999998,1.0512933,0.8824720374999998,平
924,8,1,1,6,24,1.051186375,1.2653708250000004,1.2653708250000004,1.051186375,胜
764,17,3,4,10,48,1.2428657125,1.2428657125,1.2428657125,1.2314367125000003,平
994,19,3,5,11,22,1.2512370000000004,1.2512370000000004,1.2512370000000004,0.8976109624999999,平
802,18,2,6,10,84,1.2995083500000006,1.2995083500000006,1.2995083500000006,2.062488800000001,平
133,2,0,1,1,2,0.16243320000000006,0.16243320000000006,0.9492125875000001,0.16243320000000006,平
648,11,1,3,7,27,0.8251452249999998,0.8251452249999998,1.1241546625,0.8251452249999998,平
791,6,3,0,3,14,0.716724575,1.2019928500000001,1.2019928500000001,0.716724575,胜
590,6,1,0,5,6,0.3735225749999999,0.3735225749999999,1.1055356625,0.3735225749999999,平
104,4,0,0,4,10,0.2090847125000001,0.2090847125000001,0.9357094625,0.2090847125000001,平
重查平均时间,连续查询平均时间,策略1平均时间,策略2平均时间,最佳策略平均时间
1.14268804125,0.8412105174999999,0.80141797625,0.87136324875,0.7649124725
策略1胜于策略2:2
策略1平于策略2:8
策略1负于策略2:0
