qos改变了的服务个数,实际需要更新的ws(count==0):的个数,PQ队列的最大长度,策略1(10),策略2(500),重查,连续查询,结果
739,13,59,0.5872852625,0.5872852625,0.5872852625,1.2881606,平
929,18,83,0.6522083999999999,0.6522083999999999,0.6522083999999999,1.3431086124999996,平
702,14,121,0.6907345875000002,0.6907345875000002,0.6907345875000002,2.1367045124999993,平
751,11,52,0.6656634750000001,0.6656634750000001,0.6656634750000001,0.739818375,平
247,5,18,0.48307161250000014,0.48307161250000014,0.5852218625000001,0.48307161250000014,平
144,5,5,0.07012442499999999,0.07012442499999999,0.5846445499999999,0.07012442499999999,平
407,5,26,0.2354978875,0.2354978875,0.5892684875,0.2354978875,平
931,12,62,0.6746173749999997,0.6746173749999997,0.6746173749999997,1.0479959124999998,平
659,14,63,0.6530155875000001,0.6530155875000001,0.6530155875000001,1.1536316249999998,平
186,0,0,0.0031218875,0.0031218875,0.58745635,0.0031218875,平
重查平均时间,连续查询平均时间,策略1平均时间,策略2平均时间,最佳策略平均时间
0.62701159375,0.850123545,0.4715340500000001,0.4715340500000001,0.4715340500000001
策略1胜于策略2:0
策略1平于策略2:10
策略1负于策略2:0
