变化服务数,实际变化服务数,重查,连续查询,PQ队列长度,一层后继数累加,变化中排名第一,排名第二,排名第三
498,8,1.6223753375000005,1.3979700124999999,23,60,serv322664277(18;11),serv603670259(29;9),serv44935345(33;9)
143,3,1.0408746749999995,0.19992241249999998,2,9,serv114367578(57;6),serv605308765(108;3),serv1964664018(null;null)
446,7,1.189467925,1.1814387374999997,36,18,serv1020263657(34;8),serv602031715(110;3),serv535876532(116;3)
100,1,0.9284714249999995,0.11059101250000003,1,10,serv1985760819(23;10),serv1508335842(null;null),serv1087033023(null;null)
566,12,1.1452112250000004,0.8245304624999997,28,67,serv813605464(12;13),serv183799811(21;11),serv744173231(41;8)
120,1,0.9529653125000002,0.7535188250000001,26,8,serv1020263657(34;8),serv802135808(null;null),serv1249040844(null;null)
10,0,0.8916879375000001,0.010482850000000004,0,0,serv1943977357(null;null),serv1073514645(null;null),serv1372748426(null;null)
972,18,1.3089755125,2.1695676374999997,53,75,serv2056831558(4;16),serv1430302955(24;10),serv1225283306(39;8)
528,9,1.0373785874999997,0.7694754624999999,20,44,serv393528881(5;14),serv673102492(27;9),serv254870550(73;5)
828,14,1.105092025,0.747911075,19,63,serv2124625285(35;8),serv1225283306(39;8),serv530960976(40;8)
117,0,0.9256008999999997,0.0728185375,0,0,serv469515214(null;null),serv749292830(null;null),serv769159173(null;null)
541,8,1.0788662374999995,1.1925095374999999,46,42,serv947554374(10;13),serv1070647773(15;12),serv397012066(65;5)
446,10,1.1307191250000002,1.5907183749999996,39,39,serv44935345(33;9),serv1435218511(54;6),serv1367424822(60;5)
295,4,1.0109229249999996,0.478099725,11,20,serv1499735188(31;9),serv1641876704(58;6),serv39813616(117;3)
806,8,1.1976147499999998,1.7850758500000001,62,38,serv49850901(17;12),serv881399191(68;5),serv185438317(71;5)
158,0,0.9297437500000003,0.08316773749999998,0,0,serv278013943(null;null),serv1861847102(null;null),serv1958109918(null;null)
787,11,1.1871959375000003,0.6761831375,19,52,serv1504650744(20;11),serv1293691178(30;9),serv2124625285(35;8)
715,13,1.0377795125000002,1.4240674750000006,40,71,serv463167249(6;14),serv1504650744(20;11),serv1985760819(23;10)
326,3,0.9952065875,0.30729528749999996,9,19,serv1985760819(23;10),serv154306361(99;4),serv51489445(138;3)
627,13,1.1263249875,1.1556191375,32,92,serv813605464(12;13),serv322664277(18;11),serv1504650744(20;11)
318,5,0.9870544875,0.5058970874999998,15,29,serv393528881(5;14),serv808689908(70;5),serv742534725(98;4)
222,2,0.9634427624999995,0.13942013749999996,1,14,serv1777464120(28;9),serv2053554508(72;5),serv1156465256(null;null)
906,22,1.1112341625000004,1.2927833874999997,39,103,serv1070647773(15;12),serv1503012238(32;9),serv603670259(29;9)
373,7,1.0257998499999998,1.16924525,37,62,serv2040036168(2;20),serv822616296(7;14),serv1430302955(24;10)
110,2,0.9270013875000002,0.11627340000000001,1,10,serv258147600(25;10),serv1214017655(null;null),serv133619700(null;null)
847,16,1.0921395374999996,1.1536092124999997,32,71,serv1457337543(9;13),serv1504650744(20;11),serv1989037869(56;6)
107,1,0.9239330375000001,0.14330646249999995,3,12,serv1046273922(26;9),serv605308765(108;3),serv1071261956(null;null)
251,2,0.9806718625,0.5884661124999997,18,10,serv2122986741(66;5),serv1433580005(59;5),serv1667272786(null;null)
537,11,1.057109425,0.5744926125,13,89,serv949192880(3;18),serv393528881(5;14),serv461528743(16;12)
954,11,1.3225800749999994,1.1646211999999998,39,58,serv1935170568(8;14),serv1777464120(28;9),serv1020263657(34;8)
555,5,1.1969091375,0.4209064624999999,5,21,serv1641876704(58;6),serv45549528(63;5),serv876483597(87;4)
298,6,1.0233248625,0.6797913624999998,17,31,serv1985760819(23;10),serv1225283306(39;8),serv2053554508(72;5)
